# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 04 Jun 2026 03:01:42 +0200
#
# IP	number of (black)lists
#
152.32.132.28	9
176.65.139.130	9
45.148.10.151	8
45.148.10.157	8
80.94.92.168	8
89.185.81.112	8
176.65.139.151	8
201.17.133.138	8
2.57.122.238	7
45.87.249.200	7
45.148.10.121	7
45.148.10.141	7
45.148.10.147	7
45.148.10.152	7
45.227.254.170	7
66.132.172.97	7
68.183.76.144	7
79.72.3.119	7
92.118.39.236	7
107.189.24.77	7
111.26.6.111	7
118.26.111.107	7
138.68.243.18	7
147.45.50.147	7
147.185.132.204	7
152.32.192.176	7
152.32.226.205	7
160.119.71.11	7
178.16.54.22	7
185.156.73.233	7
185.227.153.56	7
190.2.135.111	7
212.19.134.75	7
213.209.159.158	7
220.80.223.144	7
1.193.163.2	6
2.57.121.112	6
3.136.154.116	6
20.163.2.151	6
20.203.42.204	6
27.79.4.89	6
27.79.7.132	6
27.79.41.148	6
27.123.112.126	6
34.14.114.46	6
35.195.193.165	6
35.202.9.133	6
36.39.140.2	6
39.164.91.67	6
43.159.169.90	6
43.228.112.254	6
45.33.12.122	6
45.33.109.8	6
45.33.109.18	6
45.61.187.220	6
45.79.207.252	6
45.79.211.97	6
45.82.78.105	6
45.82.78.106	6
45.142.154.93	6
45.153.34.195	6
45.172.152.74	6
47.180.114.229	6
50.84.211.204	6
50.116.26.161	6
50.255.62.89	6
58.226.230.112	6
59.22.201.143	6
64.62.197.137	6
65.49.1.94	6
66.132.172.40	6
66.132.172.102	6
66.132.172.129	6
66.132.172.130	6
66.132.172.132	6
66.132.172.134	6
66.132.172.136	6
66.132.172.142	6
66.132.172.177	6
66.132.172.182	6
66.132.172.185	6
66.132.172.214	6
66.132.172.219	6
66.132.186.178	6
66.132.186.191	6
66.132.195.31	6
66.132.195.33	6
66.132.195.46	6
66.132.195.47	6
66.132.195.54	6
66.132.195.77	6
66.132.195.98	6
66.132.195.122	6
66.175.213.4	6
69.5.7.218	6
69.164.217.245	6
71.6.146.185	6
71.6.199.23	6
77.22.211.47	6
77.105.161.28	6
80.82.77.33	6
80.94.92.171	6
80.94.92.186	6
80.253.31.232	6
81.22.51.64	6
85.239.151.41	6
85.239.239.57	6
87.251.64.149	6
88.147.30.59	6
89.23.108.134	6
93.174.95.106	6
95.47.246.223	6
101.13.4.124	6
101.96.200.56	6
103.24.212.42	6
103.91.246.73	6
103.120.227.88	6
103.165.139.145	6
103.210.22.17	6
103.211.59.6	6
103.237.144.204	6
103.251.143.14	6
107.175.212.220	6
115.140.161.61	6
115.241.83.2	6
116.48.151.58	6
116.71.136.125	6
116.123.150.231	6
118.193.36.149	6
119.92.76.210	6
119.96.173.169	6
119.205.179.217	6
121.52.147.5	6
122.154.58.9	6
123.52.202.92	6
123.253.162.254	6
124.123.125.62	6
125.27.12.122	6
134.122.93.157	6
136.117.199.185	6
138.68.27.98	6
147.93.2.45	6
151.185.42.72	6
152.32.162.42	6
153.37.177.219	6
157.20.215.123	6
159.89.17.56	6
159.203.120.106	6
162.243.99.55	6
165.154.105.128	6
165.245.247.96	6
167.94.146.48	6
167.94.146.50	6
167.94.146.53	6
167.94.146.54	6
167.94.146.55	6
167.94.146.60	6
168.167.228.74	6
172.94.9.120	6
172.104.210.105	6
172.236.228.218	6
176.32.193.16	6
176.65.139.66	6
176.65.139.254	6
177.72.87.7	6
178.16.54.237	6
178.128.51.84	6
179.48.4.14	6
181.188.176.242	6
182.18.161.165	6
182.66.193.212	6
182.93.50.90	6
185.100.212.141	6
185.216.134.126	6
185.246.130.20	6
187.16.96.250	6
187.191.2.214	6
190.123.65.197	6
190.129.122.185	6
192.109.200.220	6
195.96.138.233	6
196.189.124.229	6
196.191.142.67	6
198.50.202.93	6
199.45.154.122	6
199.45.154.139	6
199.45.155.87	6
201.249.192.30	6
202.29.236.76	6
202.69.169.162	6
203.110.233.225	6
203.252.10.3	6
207.175.30.65	6
211.37.174.180	6
211.63.214.90	6
213.209.159.56	6
219.129.96.2	6
220.122.115.9	6
221.199.172.66	6
222.102.21.104	6
1.212.225.99	5
1.214.214.114	5
1.222.42.237	5
1.235.192.131	5
1.247.216.26	5
2.33.204.219	5
2.55.125.200	5
2.57.121.25	5
2.59.183.60	5
2.134.15.12	5
3.86.112.214	5
3.138.136.226	5
3.142.134.54	5
4.184.246.230	5
4.194.4.255	5
4.210.91.174	5
4.246.61.185	5
5.75.225.42	5
5.181.124.7	5
5.226.140.65	5
5.226.140.67	5
5.226.140.69	5
5.226.140.74	5
5.226.140.77	5
5.226.140.78	5
5.226.140.80	5
5.226.140.87	5
5.226.140.88	5
5.226.140.92	5
5.226.140.94	5
5.226.140.98	5
5.226.140.99	5
5.226.140.100	5
5.226.140.114	5
5.226.140.116	5
5.226.140.117	5
5.226.140.119	5
5.253.59.68	5
5.255.122.180	5
12.156.67.18	5
13.221.235.58	5
14.18.113.233	5
14.21.56.148	5
14.29.198.130	5
14.29.240.154	5
14.54.22.11	5
14.55.31.113	5
14.55.144.22	5
14.63.196.175	5
14.63.217.28	5
14.103.64.177	5
14.103.112.103	5
14.103.113.53	5
14.103.115.115	5
14.103.118.226	5
14.103.122.182	5
14.103.123.87	5
14.103.127.71	5
14.103.144.18	5
14.103.151.86	5
14.116.156.100	5
14.116.184.171	5
14.139.107.146	5
14.177.234.24	5
14.225.217.138	5
14.225.253.26	5
14.248.82.157	5
16.59.58.190	5
18.116.69.242	5
18.220.198.91	5
20.23.229.100	5
20.29.56.192	5
20.71.254.235	5
20.150.192.63	5
20.163.6.253	5
20.163.15.217	5
20.169.105.57	5
20.203.59.187	5
20.224.168.82	5
20.243.208.191	5
20.244.18.126	5
23.94.136.36	5
23.95.55.215	5
24.97.253.246	5
24.187.213.29	5
27.79.2.242	5
27.79.41.68	5
27.111.32.174	5
27.123.97.62	5
27.223.98.117	5
31.14.254.28	5
31.14.254.73	5
31.14.254.75	5
31.14.254.78	5
31.14.254.84	5
31.14.254.86	5
31.14.254.87	5
31.14.254.89	5
31.14.254.91	5
31.14.254.93	5
31.14.254.95	5
31.14.254.97	5
31.14.254.104	5
31.14.254.108	5
31.14.254.114	5
31.14.254.116	5
31.14.254.119	5
31.14.254.122	5
31.14.254.123	5
31.14.254.124	5
31.14.254.125	5
31.173.4.22	5
31.173.247.254	5
34.22.220.209	5
34.29.104.32	5
34.38.4.205	5
34.38.32.90	5
34.52.175.61	5
34.62.5.27	5
34.62.249.25	5
34.71.30.159	5
34.77.6.190	5
34.77.251.163	5
34.79.157.226	5
34.140.82.8	5
34.140.183.68	5
34.142.110.144	5
34.146.217.105	5
34.156.52.172	5
34.175.118.185	5
35.130.111.146	5
35.203.210.192	5
35.205.223.75	5
35.208.7.216	5
35.222.117.243	5
36.64.68.99	5
36.66.16.233	5
36.69.152.41	5
36.82.45.61	5
36.93.249.106	5
36.154.134.146	5
36.255.220.145	5
36.255.220.245	5
37.10.113.212	5
37.10.113.221	5
37.27.9.174	5
37.77.150.241	5
37.111.53.110	5
37.120.213.13	5
37.143.61.84	5
38.96.178.216	5
38.137.11.14	5
40.76.124.118	5
40.83.182.122	5
40.117.97.0	5
41.181.156.205	5
41.216.177.55	5
41.220.3.101	5
41.242.115.84	5
42.96.19.37	5
42.200.66.164	5
43.132.227.251	5
43.133.148.170	5
43.135.216.191	5
43.156.82.40	5
43.156.212.86	5
43.157.151.226	5
43.157.163.155	5
43.162.99.8	5
43.165.3.187	5
43.165.174.224	5
43.165.190.208	5
43.173.69.147	5
43.255.118.11	5
45.33.12.214	5
45.33.14.5	5
45.33.14.197	5
45.33.80.243	5
45.55.185.228	5
45.56.79.53	5
45.78.198.158	5
45.78.198.228	5
45.79.5.11	5
45.79.7.228	5
45.79.115.59	5
45.79.115.134	5
45.79.181.104	5
45.79.181.179	5
45.79.181.251	5
45.79.207.71	5
45.79.207.110	5
45.79.207.129	5
45.79.207.181	5
45.82.78.100	5
45.82.78.103	5
45.82.78.104	5
45.82.78.108	5
45.91.64.6	5
45.91.171.192	5
45.118.49.18	5
45.120.216.232	5
45.123.217.22	5
45.131.109.76	5
45.142.154.36	5
45.142.154.116	5
45.144.212.98	5
45.148.10.200	5
45.148.10.240	5
45.148.146.52	5
45.153.34.71	5
45.156.87.166	5
45.156.87.253	5
45.156.128.66	5
45.156.129.75	5
45.156.129.80	5
45.161.237.218	5
45.178.227.0	5
45.192.184.50	5
45.194.37.246	5
45.196.236.141	5
45.232.73.84	5
46.16.34.179	5
46.24.47.94	5
46.59.91.252	5
46.59.93.200	5
46.101.107.202	5
46.245.238.18	5
46.253.45.10	5
49.64.169.153	5
49.75.185.71	5
49.173.65.19	5
49.229.72.68	5
49.247.37.22	5
49.248.223.6	5
50.35.168.148	5
50.116.72.11	5
50.217.40.11	5
51.75.64.35	5
51.75.161.33	5
51.75.194.10	5
51.79.99.235	5
51.158.120.121	5
51.159.104.219	5
51.178.114.78	5
52.187.9.8	5
54.37.74.179	5
54.38.241.200	5
57.128.225.99	5
58.49.26.202	5
58.98.197.137	5
58.186.20.143	5
58.209.82.167	5
58.224.62.29	5
59.12.160.91	5
59.16.212.232	5
59.24.28.114	5
59.26.193.177	5
59.38.131.149	5
60.166.8.174	5
60.167.19.189	5
60.171.135.254	5
60.174.35.18	5
60.174.39.82	5
60.175.91.53	5
60.199.224.2	5
60.214.127.246	5
61.72.59.106	5
61.76.38.54	5
61.76.112.4	5
61.77.63.232	5
61.143.227.17	5
61.155.106.101	5
61.220.235.10	5
61.231.218.225	5
61.240.156.16	5
62.171.171.102	5
62.183.82.70	5
64.62.156.24	5
64.62.156.38	5
64.62.156.52	5
64.62.156.66	5
64.62.156.80	5
64.62.156.108	5
64.62.156.132	5
64.62.156.142	5
64.62.156.152	5
64.62.156.172	5
64.62.156.192	5
64.62.156.202	5
64.62.156.222	5
64.62.197.2	5
64.62.197.17	5
64.62.197.32	5
64.62.197.48	5
64.62.197.62	5
64.62.197.77	5
64.62.197.92	5
64.62.197.152	5
64.62.197.167	5
64.62.197.212	5
64.62.197.227	5
64.89.160.43	5
64.89.162.78	5
64.89.162.87	5
64.188.83.244	5
65.20.143.45	5
65.20.251.41	5
65.38.97.199	5
65.49.1.10	5
65.49.1.24	5
65.49.1.38	5
65.49.1.52	5
65.49.1.66	5
65.49.1.80	5
65.49.1.122	5
65.49.1.132	5
65.49.1.142	5
65.49.1.152	5
65.49.1.162	5
65.49.1.182	5
65.49.1.212	5
65.49.1.222	5
65.49.1.232	5
65.49.20.66	5
65.49.20.67	5
65.49.20.68	5
65.49.20.69	5
65.49.139.223	5
66.54.140.166	5
66.116.224.143	5
66.132.172.32	5
66.132.172.34	5
66.132.172.35	5
66.132.172.37	5
66.132.172.39	5
66.132.172.41	5
66.132.172.45	5
66.132.172.46	5
66.132.172.47	5
66.132.172.99	5
66.132.172.100	5
66.132.172.104	5
66.132.172.105	5
66.132.172.108	5
66.132.172.109	5
66.132.172.110	5
66.132.172.111	5
66.132.172.128	5
66.132.172.131	5
66.132.172.133	5
66.132.172.137	5
66.132.172.138	5
66.132.172.141	5
66.132.172.143	5
66.132.172.178	5
66.132.172.179	5
66.132.172.180	5
66.132.172.181	5
66.132.172.184	5
66.132.172.186	5
66.132.172.187	5
66.132.172.189	5
66.132.172.192	5
66.132.172.199	5
66.132.172.201	5
66.132.172.205	5
66.132.172.206	5
66.132.172.207	5
66.132.172.208	5
66.132.172.209	5
66.132.172.210	5
66.132.172.212	5
66.132.172.213	5
66.132.172.218	5
66.132.186.161	5
66.132.186.162	5
66.132.186.165	5
66.132.186.167	5
66.132.186.169	5
66.132.186.170	5
66.132.186.172	5
66.132.186.175	5
66.132.186.176	5
66.132.186.181	5
66.132.186.182	5
66.132.186.184	5
66.132.186.193	5
66.132.186.196	5
66.132.186.198	5
66.132.186.203	5
66.132.186.204	5
66.132.186.205	5
66.132.195.37	5
66.132.195.38	5
66.132.195.40	5
66.132.195.41	5
66.132.195.44	5
66.132.195.49	5
66.132.195.50	5
66.132.195.51	5
66.132.195.53	5
66.132.195.56	5
66.132.195.57	5
66.132.195.58	5
66.132.195.63	5
66.132.195.65	5
66.132.195.72	5
66.132.195.75	5
66.132.195.76	5
66.132.195.78	5
66.132.195.82	5
66.132.195.84	5
66.132.195.85	5
66.132.195.86	5
66.132.195.87	5
66.132.195.92	5
66.132.195.95	5
66.132.195.97	5
66.132.195.101	5
66.132.195.106	5
66.132.195.107	5
66.132.195.108	5
66.132.195.114	5
66.132.195.117	5
66.132.195.120	5
66.132.195.121	5
66.132.195.123	5
66.132.195.124	5
66.132.195.125	5
66.132.195.126	5
66.132.224.79	5
66.132.224.80	5
66.132.224.81	5
66.132.224.90	5
66.132.224.92	5
66.132.224.230	5
66.132.224.235	5
66.228.62.150	5
66.240.192.138	5
66.240.219.146	5
67.241.132.98	5
68.66.251.43	5
68.183.71.68	5
68.233.116.124	5
69.5.169.26	5
69.5.169.31	5
69.5.169.35	5
69.5.169.43	5
69.5.169.44	5
69.5.169.56	5
69.5.169.68	5
69.5.169.96	5
69.5.169.111	5
69.5.169.133	5
69.5.169.135	5
69.5.169.136	5
69.5.169.148	5
69.5.169.154	5
69.5.169.156	5
69.5.169.158	5
69.5.169.185	5
69.5.169.212	5
69.5.169.213	5
69.5.169.218	5
69.5.169.237	5
69.6.221.248	5
69.49.246.176	5
69.74.29.21	5
69.116.113.163	5
70.89.116.5	5
71.6.134.232	5
71.6.135.131	5
71.6.165.200	5
71.6.232.22	5
71.6.232.27	5
71.12.241.225	5
72.17.34.38	5
72.240.125.133	5
72.253.251.3	5
73.36.177.174	5
74.82.47.5	5
75.102.23.159	5
76.132.238.43	5
77.83.39.31	5
77.90.185.118	5
77.90.185.238	5
79.3.96.178	5
79.104.0.82	5
79.143.45.75	5
80.66.83.43	5
80.82.77.139	5
80.94.92.182	5
80.94.92.184	5
80.94.95.115	5
80.94.95.116	5
80.94.95.242	5
81.19.216.121	5
81.19.219.205	5
81.19.219.210	5
81.19.219.211	5
81.19.219.226	5
81.19.219.229	5
81.19.219.233	5
81.19.219.241	5
81.19.219.243	5
81.19.219.247	5
81.19.219.248	5
81.19.219.250	5
81.23.173.32	5
81.28.167.30	5
81.57.15.243	5
81.170.248.221	5
81.177.49.115	5
81.192.46.36	5
81.192.46.45	5
81.211.72.167	5
82.102.158.36	5
82.208.20.10	5
83.145.42.126	5
83.233.149.204	5
83.235.16.111	5
83.239.0.202	5
83.239.84.130	5
84.46.247.185	5
85.24.223.224	5
85.30.212.24	5
85.95.166.40	5
85.111.68.99	5
85.137.228.167	5
85.217.140.34	5
85.217.149.61	5
85.217.149.70	5
86.54.31.32	5
86.54.31.40	5
87.103.126.54	5
87.226.190.225	5
87.251.64.144	5
87.251.64.145	5
87.251.64.147	5
88.142.46.185	5
89.37.117.103	5
89.37.172.130	5
89.37.172.146	5
89.37.172.148	5
89.37.172.153	5
89.37.172.154	5
89.39.246.58	5
89.47.53.19	5
89.58.10.55	5
89.126.222.163	5
89.163.206.178	5
89.167.10.218	5
89.190.156.8	5
89.248.167.131	5
89.252.131.17	5
91.92.42.88	5
91.92.199.36	5
91.92.243.4	5
91.121.33.230	5
91.185.75.244	5
91.196.152.19	5
91.196.152.33	5
91.230.168.160	5
91.231.89.82	5
92.27.101.99	5
92.27.157.252	5
92.46.38.226	5
92.126.223.175	5
92.191.96.70	5
92.253.214.224	5
92.255.196.185	5
94.20.234.161	5
94.29.124.154	5
94.102.49.155	5
94.159.112.56	5
94.231.206.15	5
95.46.211.142	5
95.58.255.251	5
95.85.245.51	5
95.130.170.146	5
95.167.225.76	5
95.182.81.25	5
95.182.82.132	5
95.188.91.101	5
95.215.0.144	5
95.250.241.71	5
96.1.40.151	5
96.78.175.41	5
96.127.172.215	5
97.93.43.157	5
101.36.97.74	5
101.36.104.242	5
101.36.111.38	5
101.47.8.188	5
101.47.155.9	5
101.47.156.170	5
101.47.158.137	5
101.96.200.105	5
101.96.214.179	5
101.96.220.35	5
101.126.24.71	5
101.126.54.66	5
101.126.55.179	5
101.126.81.144	5
101.126.83.70	5
101.126.88.251	5
101.245.110.161	5
102.88.137.80	5
102.90.34.90	5
102.140.97.134	5
102.210.82.20	5
102.211.7.162	5
102.216.240.61	5
102.223.92.101	5
103.25.47.94	5
103.26.136.173	5
103.29.185.162	5
103.38.182.49	5
103.38.219.22	5
103.48.192.48	5
103.55.89.5	5
103.57.224.219	5
103.61.122.197	5
103.63.108.25	5
103.68.52.210	5
103.75.182.178	5
103.77.246.158	5
103.78.0.229	5
103.78.1.33	5
103.82.21.8	5
103.85.174.162	5
103.86.198.253	5
103.98.176.164	5
103.99.115.70	5
103.101.216.26	5
103.103.245.61	5
103.107.60.45	5
103.114.146.178	5
103.118.82.254	5
103.134.154.36	5
103.134.154.138	5
103.147.14.125	5
103.147.248.44	5
103.148.100.146	5
103.154.77.48	5
103.154.158.70	5
103.158.138.179	5
103.172.236.241	5
103.176.20.115	5
103.176.90.41	5
103.180.212.135	5
103.182.132.154	5
103.186.101.237	5
103.186.132.188	5
103.186.139.149	5
103.187.147.165	5
103.188.177.46	5
103.189.208.13	5
103.189.234.85	5
103.191.14.243	5
103.228.36.205	5
103.233.206.154	5
103.239.252.132	5
103.243.24.124	5
103.250.11.176	5
103.250.160.76	5
104.28.233.73	5
104.151.230.143	5
104.152.52.104	5
104.152.52.124	5
104.152.52.201	5
104.152.52.209	5
104.152.52.231	5
104.167.199.62	5
104.168.54.192	5
104.168.68.12	5
104.208.108.166	5
104.248.19.38	5
104.248.22.153	5
104.248.241.178	5
104.253.74.93	5
105.233.67.36	5
106.12.148.154	5
106.13.107.71	5
106.51.92.114	5
106.52.5.219	5
106.54.1.166	5
106.75.25.139	5
107.0.200.227	5
107.150.103.12	5
107.150.103.210	5
107.175.212.81	5
109.50.185.153	5
109.105.210.57	5
109.122.217.21	5
109.236.86.20	5
110.14.190.217	5
110.14.192.20	5
110.40.134.47	5
111.9.42.57	5
111.26.167.166	5
111.36.57.69	5
111.36.152.14	5
111.42.2.194	5
111.70.23.231	5
111.70.32.6	5
111.70.32.51	5
111.171.127.190	5
111.198.53.188	5
111.228.35.115	5
111.253.92.137	5
112.6.11.184	5
112.6.127.244	5
112.161.26.125	5
112.164.20.69	5
112.194.142.167	5
113.11.34.221	5
113.20.4.9	5
113.28.86.1	5
113.193.187.154	5
113.193.234.210	5
113.219.177.95	5
113.249.103.144	5
114.35.59.237	5
114.98.63.18	5
114.111.53.116	5
114.234.101.12	5
115.190.46.94	5
115.190.52.176	5
115.190.127.7	5
115.190.138.108	5
115.191.22.111	5
116.72.9.151	5
116.99.172.203	5
116.99.175.167	5
116.110.154.109	5
116.114.84.246	5
116.114.94.242	5
116.228.195.251	5
116.233.83.90	5
116.255.159.152	5
117.6.44.221	5
117.34.85.168	5
117.39.63.46	5
117.50.51.119	5
117.50.70.169	5
117.71.53.210	5
117.72.28.64	5
117.91.186.55	5
117.164.191.217	5
117.187.180.251	5
